"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Wassenaar, A.; Coetzee, B.","Wassenaar, Amélia S. (59009729800); Coetzee, Brenda A. (58952841400)","59009729800; 58952841400","Global astrotourism initiatives and the applicability of their strengths, weaknesses, opportunities and threats to astrotourism in South African National Parks","2024","Journal of Outdoor Recreation and Tourism","46","","100766","","","0","2","10.1016/j.jort.2024.100766","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191891422&doi=10.1016%2Fj.jort.2024.100766&partnerID=40&md5=3a5483e3529da20022b986c7b891643c","Department of Exercise and Sport Science, University of the Free State, School of Medicine, Bloemfontein, South Africa","Wassenaar, Amélia S., Department of Exercise and Sport Science, University of the Free State, School of Medicine, Bloemfontein, South Africa; Coetzee, Brenda A., Department of Exercise and Sport Science, University of the Free State, School of Medicine, Bloemfontein, South Africa","South African National Parks (SANParks) must generate operational income through innovative resource development. Astrotourism was identified as a potentially suitable income-generating activity. Various astrotourism initiatives are operational globally. However, their applicability within the South African context is unknown. The research evaluated successful global astrotourism initiatives to determine how these examples can be applicable to SANParks. Sixty-two global astrotourism initiatives were evaluated and 42 in-depth stakeholder interviews were conducted. Thematical data analysis was followed by a strengths, weaknesses, opportunities and threats (SWOT) analysis. The research makes a meaningful contribution by highlighting important concepts for consideration in support of viable astrotourism development in SANParks. Elements requiring consideration to provide tourists with quality experiences include appropriate locations for astrotourism activities, mitigation of light pollution, climate, seasonality, need for community engagement, well-trained presenters, carefully planned programmes and development of suitable management policies to protect dark skies, allowing for variation within each park's unique situation. © 2024 Elsevier B.V., All rights reserved.","Astrotourism; Income-generating activities; Light pollution; Night sky conservation; Stargazing","","B. Coetzee; Department of Exercise and Sport Sciences, School of Health and Rehabilitation Sciences, Faculty of Health Sciences, University of the Free State, Bloemfontein, South Africa; email: austinba@ufs.ac.za","","Elsevier Ltd","22130780","","","","English","J. Outdoor Recreat. Tour.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85191891422"
"Bernstein, J.D.","Bernstein, Joshua D. (57205115672)","57205115672","The billionaire space race: Internet memes and the netizen response to space tourism","2024","Annals of Tourism Research Empirical Insights","5","1","100122","","","0","2","10.1016/j.annale.2024.100122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185304150&doi=10.1016%2Fj.annale.2024.100122&partnerID=40&md5=323d498b97d09ed0ec346987416e9b4d","Language Institute, Thammasat University, Pathum Thani, Thailand","Bernstein, Joshua D., Language Institute, Thammasat University, Pathum Thani, Thailand","This study examined netizen attitudes toward space tourism. A content analysis was performed on 260 memes collected in response to the first tourist-focused suborbital spaceflight of Virgin Galactic and Blue Origin. While findings indicate a variety of perspectives toward both historic moments for the new commercial space industry, the overall sentiment was negative. Using cultural references and humor, this critical response focused on the billionaire founders Richard Branson and Jeff Bezos, downplayed their achievement, and questioned their environmental, financial, and social/ethical practices. This discursive contention is sharply opposed to dominant narratives which typically frame space tourism as a net positive for humankind. Findings offer insight into emerging attitudes toward present-day space tourism and potential challenges to the industry's future development. © 2024 Elsevier B.V., All rights reserved.","Alternative tourism; Content analysis; Counterpublics; Internet memes; Public sphere; Sustainability","","","","Elsevier B.V.","26669579","","","","English","Ann. Tourism Res. Empir. Insights","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85185304150"
"Kim, M.J.; Hall, C.M.; Kwon, O.; Sohn, K.","Kim, Myungja (7406088313); Hall, C. Michael (55017070000); Kwon, Ohbyung (55735334700); Sohn, Kwonsang (57212469834)","7406088313; 55017070000; 55735334700; 57212469834","Space tourism: Value-attitude-behavior theory, artificial intelligence, and sustainability","2024","Journal of Retailing and Consumer Services","77","","103654","","","0","44","10.1016/j.jretconser.2023.103654","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179426132&doi=10.1016%2Fj.jretconser.2023.103654&partnerID=40&md5=0361791af1f6d5d0e032b17430edfb81","College of Hotel and Tourism Management, Kyung Hee University, Seoul, South Korea; Department of Management, University of Canterbury, Christchurch, New Zealand; College of Hotel and Tourism Management, Kyung Hee University, Seoul, South Korea; Geography Research Unit, Oulun Yliopisto, Oulu, Finland; Department of Service Studies, Campus Helsingborg, Helsingborg, Sweden; School of Management, Kyung Hee University, Seoul, South Korea; College of Business Administration, Inha University, Incheon, South Korea; School of Management, Kyung Hee University, Seoul, South Korea","Kim, Myungja, College of Hotel and Tourism Management, Kyung Hee University, Seoul, South Korea; Hall, C. Michael, Department of Management, University of Canterbury, Christchurch, New Zealand, College of Hotel and Tourism Management, Kyung Hee University, Seoul, South Korea, Geography Research Unit, Oulun Yliopisto, Oulu, Finland, Department of Service Studies, Campus Helsingborg, Helsingborg, Sweden; Kwon, Ohbyung, School of Management, Kyung Hee University, Seoul, South Korea; Sohn, Kwonsang, College of Business Administration, Inha University, Incheon, South Korea, School of Management, Kyung Hee University, Seoul, South Korea","Despite concerns over its sustainability, space tourism is an emerging luxury consumer service which is promoted to participants as providing a new connection to Earth and humanity. However, little research examines the potential connectivity between sustainability and space tourism, especially given the strong technological dimensions of space tourism. The purpose of this study is to explore an extended value-attitude-behavior theory with AI awareness and social and personal norms to examine space tourism's alignment with the UN's 17 Sustainable Development Goals. Through 664 potential space tourism consumers and applying PLS-SEM, multi-group analysis, fsQCA, and deep learning methods, findings revealed the significant influence of value and AI awareness on attitude and social and personal norms leading to sustainable behaviors. Findings provide insights into space tourism's sustainability, emphasizing environmental considerations and AI awareness in shaping luxury travel consumer services. © 2023 Elsevier B.V., All rights reserved.","Artificial intelligence; Deep learning; fsQCA; Space tourism; Sustainable development goals; VAB model","artificial intelligence; machine learning; scanning electron microscopy; sustainability; Sustainable Development Goal; tourism development; tourism market; United Nations","M.J. Kim; College of Hotel & Tourism Management, Kyung Hee University, Seoul, 26 Kyungheedae-ro, Dongdaemun-gu, 02447, South Korea; email: silver@khu.ac.kr","","Elsevier Ltd","09696989","","","","English","J. Retail. Consum. Serv.","Article","Final","","Scopus","2-s2.0-85179426132"
"Zhang, Y.","Zhang, Yaozhi (57210197852)","57210197852","Space tourism: A new frontier of tourism experience","2024","","","","","237","248","0","1","10.4337/9781803926902.00025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188771723&doi=10.4337%2F9781803926902.00025&partnerID=40&md5=05ebf35242537f73749ac50a735a6e15","","Zhang, Yaozhi, ","[No abstract available]","","","","","Edward Elgar Publishing Ltd.","","9781803926902; 9781803926896","","","English","Handb. of Experience Sci.","Book chapter","Final","","Scopus","2-s2.0-85188771723"
"Penteado, A.","Penteado, Ana (57232696300)","57232696300","Despite Repeated Warnings: A Multidisciplinary Approach of the Shortcoming of Numbers in Indigenous Knowledge and Climate Change","2024","","","","","283","311","0","0","10.1007/978-981-99-8830-3_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219651225&doi=10.1007%2F978-981-99-8830-3_13&partnerID=40&md5=fb2407837c5f1b286167b108b93e1910","The University of Notre Dame Australia, Fremantle, Australia","Penteado, Ana, The University of Notre Dame Australia, Fremantle, Australia","Life is about numbers. With technology on offer, we think about our own choices detached from any other preoccupation. Daily steps are tracked in a graduate step-index to monitor signs of a sedentary lifestyle for health purposes (Thomson et al., BMC public health several steps/day indicators predict changes in anthropometric outcomes: HUB city steps, 2012), sustainable travel choices are sold online in an eco-friendly conduct, checking their carbon emissions targets via social media applications that manage their personal achievements unrelated to other indicators. At the same time, another group of rarefied economic power pollutes the atmosphere with up to about 300 tons of carbon dioxide adventuring in space travel, regardless of any impact on local, regional, and global climate change (See, The Guardian, Katharine Gammon, Space, How the billionaire space race could be one giant leap for pollution published on 19 of July 2021, available at https://www.theguardian.com/science/2021/jul/19/billionaires-space-tourism-environment-emissions.). Unbeknownst to them is the relationship of their actions to ebb away climate change mitigation policies. Economic indicators and human consumer options instruct our life, which has been inundated with more disconnected lifestyle statistics to inform our choices better than an informed guess. In short, indicators manage our choices from personal to the public arena of ideas, which is concerning. Applying critical research methods on meaningful indicators entails designing public policies for sustainability choices, and what an evaluation conveys to a wider audience needs to be clearly communicated to influence a lifestyle change for environmental impact. When we interpret indicators against the selected parameters on climate mitigation, health, sustainability, or business enterprises, we fail to understand the relationship between our local environment and climate change mitigation if we do not monitor our biodiversity conservation policies. This correct interrelation will impact sustainability policies and climate change actions for academia, governments to local populations for good. Ecological metrics are crucial to link ecological parameters together for a sound decision at the local level. An ecological metric applied to a local biodiversity hotspot suggests effective and good monitoring of rare and native species, a positive outcome for decreasing the degradation of the environment. Therefore, countries should act collaboratively to achieve positive results for climate change mitigation policies focusing on the taxonomic identification of local biodiversity, most of these species have indigenous names and the impact of human interference on local ecosystems, which demands coordinated action. This paper suggests that a holistic approach to ecological metrics may support local biodiversity conservation in connection to Indigenous Peoples Knowledge. This paper will also focus on climate change mitigation public policies that use poor or no ecological indicators in their findings to support ecological education in their daily lives for the present and the future of other generations. It concludes with an analysis of biodiversity conservation policies and economic metrics, a paradoxical relationship represented by the absence of ecological indicators in sustainability reports for evaluating environmental projects, that impact local populations and native flora and fauna. As a result, non-identified native and rare plants are discarded as possible strong indicators for curbing climate change mitigation than economic indicators. © 2025 Elsevier B.V., All rights reserved.","","","A. Penteado; Notre Dame University, School of Law, Sydney, Australia; email: penteado.ana2008@gmail.com","","Springer Singapore","","9789819988303; 9789819988297","","","English","Traditional Knowl. and Climate Change: An Environmental Impact on Landsc. and Communities","Book chapter","Final","","Scopus","2-s2.0-85219651225"
"El Archi, Y.; Benbba, B.","El Archi, Youssef (58164981400); Benbba, Brahim (57987744600)","58164981400; 57987744600","New Frontiers in Tourism and Hospitality Research: An Exploration of Current Trends and Future Opportunities","2024","Springer Proceedings in Business and Economics","","","","149","166","0","6","10.1007/978-3-031-48288-5_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188308785&doi=10.1007%2F978-3-031-48288-5_9&partnerID=40&md5=4cd1091ce70de01c3096926ab64ddad3","Université Abdelmalek Essaadi, Tetouan, Morocco; Doctoral School of Economic and Regional Sciences, Hungarian University of Agriculture and Life Sciences, Godollo, Hungary","El Archi, Youssef, Université Abdelmalek Essaadi, Tetouan, Morocco, Doctoral School of Economic and Regional Sciences, Hungarian University of Agriculture and Life Sciences, Godollo, Hungary; Benbba, Brahim, Université Abdelmalek Essaadi, Tetouan, Morocco","The global economy depends heavily on the tourism and hospitality industries, and research in these fields has grown and changed significantly in recent years. With an emphasis on newly opened research areas, this study intends to examine current trends and potential future directions in tourism and hospitality research. To identify significant themes and areas of research interest, the study focuses on a thorough examination of the literature, which includes both theoretical and empirical investigations. A historical review of tourism and hospitality research is given at the outset of the study, showing how it has developed from early studies of visitor behaviour to more contemporary studies on sustainability, technology and globalisation. The authors then go through the most recent developments in the industry, such as the expanding significance of experience and co-creation in tourism, the use of social media and online platforms to increase consumer interaction and the rise of new business models and forms of cooperation. Along with these current trends, the paper also identifies a number of potential areas for future research, such as the incorporation of artificial intelligence and machine learning into tourism and hospitality operations, the creation of fresh perspectives on sustainability and responsible tourism and the investigation of novel forms of tourism like space tourism and virtual reality tourism. The authors also highlight the importance of conducting more multidisciplinary research in the tourism and hospitality industries, incorporating knowledge from disciplines like psychology, sociology and anthropology. The need for ongoing innovation and teamwork in tourism and hospitality research is emphasised in the paper’s conclusion, along with the field’s ability to support larger social goals including sustainable development, cultural exchange and economic progress. Overall, this article offers a thorough assessment of recent developments in tourism and hospitality research and gives a roadmap for future studies in this dynamic and quickly developing area. © 2024 Elsevier B.V., All rights reserved.","Comprehensive literature review; Current trends; Future opportunities; Hospitality; Tourism","","Y. El Archi; National School of Business and Management of Tangier, Abdelmalek Essaâdi University, Tétouan, Morocco; email: elarchi.youssef@etu.uae.ac.ma","Negrua, A.L.; Coros, M.M.","Springer Nature","21987254; 21987246","9783031900532; 9789819665259; 9783319338637; 9783031766572; 9783030552763; 9783030305482; 9783031065804; 9783031261206; 9783030506759; 9789811678172","","","English","Springer Proc. Bus. Econ.","Conference paper","Final","","Scopus","2-s2.0-85188308785"
"Brobst, J.A.","Brobst, Jennifer A. (57201777376)","57201777376","LEGAL STRATEGIES TO PRESERVE THE NATURAL AND CULTURAL HERITAGE OF SPACE","2024","","","","","133","152","0","1","10.4324/9781032617961-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184560632&doi=10.4324%2F9781032617961-9&partnerID=40&md5=3f15e40dbcd379501b992a1b3fa97532","University of Memphis, Memphis, United States","Brobst, Jennifer A., University of Memphis, Memphis, United States","The World Heritage Convention to the United Nations Educational, Scientific and Cultural Organization (UNESCO) and related laws that seek to protect the natural and cultural heritage of humanity offer a promising framework for preserving the human legacy of space travel. The application of the World Heritage Convention on Earth demonstrates an interest in preserving global history, ecology and resources, as well as inspiring cooperation among nations through mutual respect and an appreciation of a common history. As the Space Age begins, it is timely to consider legal mechanisms to preserve the numerous “firsts” in space travel. Expanded space tourism offers the promise of space parks, museums and retreats. However, the encroachment of commercial mining and military interests presents a challenge to the protection of heritage sites on Earth and in space, particularly as the Artemis Accords contemplate resource exploitation on celestial bodies. However, there are also potential economic and diplomatic benefits to heritage preservation through the tourism industry and the transparency which it offers. Despite the competitive nature of space travel among nations, the broad cooperative support for a UNESCO framework on Earth bodes well for expanding the heritage conventions to encompass humanity’s experience in the universe. © 2024 Elsevier B.V., All rights reserved.","","","","","Taylor and Francis","","9781003850083; 9781032488622","","","English","Space Tourism: Legal and Policy Aspects","Book chapter","Final","","Scopus","2-s2.0-85184560632"
"Sharma, A.V.","Sharma, Aaditya Vikram (57223618030)","57223618030","SPACE TOURISM: Learning from the Antarctic Experience","2024","","","","","203","222","0","1","10.4324/9781032617961-13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184538089&doi=10.4324%2F9781032617961-13&partnerID=40&md5=860628180b54953441fe7b4a243c1dbf","Vivekananda Institute of Professional Studies - Technical Campus, New Delhi, India","Sharma, Aaditya Vikram, Vivekananda Institute of Professional Studies - Technical Campus, New Delhi, India","Space tourism service by private companies is now a reality and is here to stay, with investments in these corporations spanning around $9 billion in 2020 International space law covers activities which occur in this area. However, it has been unable to keep up with the fast-paced developments in space technologies. This means that issues such as the safety of the passengers, protection of the environment and cultural heritage in space, licensing requirements and even the boundary between the atmosphere and outer space are not adequately addressed under it. The experience of regulating tourism in Antarctica can be utilised to hone the instruments for tourism in space. This is because of the similarities between Antarctica and outer space. Further, the environment and heritage in both regions need to be preserved. The Antarctic Treaty System (ATS) is a relatively mature mechanism which was created in 1959. It has been able to address the issue of regulation of tourism through the Madrid Protocol of 1991, which directly led to the creation of the International Association of Antarctica Tour Operators (IAATO). Since then, the IAATO has regulated tourism in Antarctica. This chapter proposes that ATS can be a viable mechanism to overhaul international space law as it stands, especially for international tourism. © 2024 Elsevier B.V., All rights reserved.","","","","","Taylor and Francis","","9781003850083; 9781032488622","","","English","Space Tourism: Legal and Policy Aspects","Book chapter","Final","","Scopus","2-s2.0-85184538089"
"Schweinsberg, S.; Fennell, D.","Schweinsberg, Stephen C. (12767027000); Fennell, David A. (35886451600)","12767027000; 35886451600","Space Tourism: A Historical and Existential Perspective","2024","Sustainability (Switzerland)","16","1","79","","","0","5","10.3390/su16010079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181878408&doi=10.3390%2Fsu16010079&partnerID=40&md5=854f7a280fd006d84ef57393be0d4ccb","UTS Business School, Sydney, Australia; Department of Geography and Tourism Studies, Brock University, St. Catharines, Canada","Schweinsberg, Stephen C., UTS Business School, Sydney, Australia; Fennell, David A., Department of Geography and Tourism Studies, Brock University, St. Catharines, Canada","The growth of space tourism over recent decades has led to calls to formalise its ethical positioning and sustainability credentials in the eyes of society. With tourism ethics frameworks typically developing according to human-centred viewpoints, how might we develop ethical reference points for future space tourism when technological innovation progresses to the extent where we are exploring the unknown? To explore the unknown, we have conducted a colonial reflection on the behaviour and attitudes of Captain James Cook and the crew of HMS Endeavour when they visited Australia in 1770. From a methodological perspective, we have drawn on extracts from the voyage journals, examining the information that they provide through the lens of existentialism. Through this examination we explore some of the challenges that future space tourists might face being authentic to themselves when exploring the unknown. This includes the challenges in avoiding ‘bad faith’ in our dealings with other life-forms and the abdication of our own personal responsibility to act in a manner which is ethical. © 2024 Elsevier B.V., All rights reserved.","Captain Cook; colonialism; ethics; existentialism; space tourism","ecotourism; ethics; innovation; public attitude; spatiotemporal analysis; sustainability; tourism development; Australia","S. Schweinsberg; UTS Business School, University of Technology Sydney, Sydney, 2007, Australia; email: stephen.schweinsberg@uts.edu.au","","Multidisciplinary Digital Publishing Institute (MDPI)","20711050","","","","English","Sustainability","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85181878408"
"Jaskari, M.-M.; Jauffret, M.-N.; KauppinenRäisänen, H.","Jaskari, Minna Maarit (55905587900); Jauffret, Marie Nathalie (56534005700); KauppinenRäisänen, Hannele (25623417600)","55905587900; 56534005700; 25623417600","Suborbital Space Tourism: Doozy Experiences Beyond Earth","2024","","","","","263","290","0","0","10.1007/978-981-97-3430-6_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004110838&doi=10.1007%2F978-981-97-3430-6_11&partnerID=40&md5=db047f01c66c7ec97791e38ac79cc078","School of Marketing and Communication, Vaasan Yliopisto, Vaasa, Finland; International University of Monaco, Monte Carlo, Monaco; Helsingin Yliopisto, Helsinki, Finland","Jaskari, Minna Maarit, School of Marketing and Communication, Vaasan Yliopisto, Vaasa, Finland; Jauffret, Marie Nathalie, International University of Monaco, Monte Carlo, Monaco; KauppinenRäisänen, Hannele, Helsingin Yliopisto, Helsinki, Finland","This chapter delves into the experiences of actual space travelers, focusing on their experiences along the journey. The underlying premise is that the experiences occurring in various phases of the journey-pre, during, and after-each play a crucial role in shaping the holistic travel experience. In order to gain in-depth insights regarding these experiences, a qualitative study was designed using mixed methods comprising three one-to-one interviews, analysis of published interviews with six space travel astronauts, and archival data. The study contributes with insights into the unique circumstances of space travel and lived experiences of such journeys. It also introduces the concept of “doozy tourism” to illustrate the specific nature of space tourism, which is here characterized as a niche of luxury tourism. Finally, it shows how experiences within space tourism are divided into four phases. The study also holds managerial implications for luxury space tourism. © 2025 Elsevier B.V., All rights reserved.","Doozy tourism; Luxury tourism; Prolonged waiting time; Qualitative research; Space travel experience; Suborbital space tourism; Tourism experience","Interplanetary flight; Lunar missions; NASA; Spacecraft landing; Doozy tourism; Luxury tourism; Prolonged waiting time; Qualitative research; Space tourisms; Space travel; Space travel experience; Suborbital space tourism; Tourism experience; Travel experiences; Waiting time; Manned space flight","M.-M. Jaskari; School of Marketing and Communication, University of Vaasa, Vaasa, Finland; email: minnamaarit.jaskari@uwasa.fi","","Springer Nature","","9789819734290; 9789819734306","","","English","Space Bus.: Emerg. Theory and Practice","Book chapter","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105004110838"
"Yang, M.I.C.","Yang, I. Chieh Michelle (57212507504)","57212507504","The Sociological Shaping of Space Tourism","2024","","","","","291","308","0","0","10.1007/978-981-97-3430-6_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004105029&doi=10.1007%2F978-981-97-3430-6_12&partnerID=40&md5=a5ef8c4dfca801e3f3d15d202517fcfe","Graduate School of Management, Kyoto, Japan","Yang, I. Chieh Michelle, Graduate School of Management, Kyoto, Japan","Space tourism marks a pivotal shift in humanity’s endeavors. It goes beyond traditional travel and embodies a complex interplay of social, technological and economic forces. This article comprehensively explores how these forces combine to shape the landscape of space tourism and position it as a reflection of prevailing social constructs. It explores the intricate ways in which regulatory frameworks, cultural narratives, technological breakthroughs, and economic mechanisms interact to define and guide the development of space tourism. Drawing on institutional and performativity theories, the article offers a nuanced sociological analysis of the burgeoning market for space tourism and highlights the importance of these theoretical lenses for understanding the social foundations of this novel industry. The integrative analysis presented in this article recognizes the socioeconomic barriers and cultural paradigms that shape space tourism access and experiences. Through a critical assessment of the regulatory, technological, and economic dimensions of space tourism, the article urges a re-evaluation of the industry’s practices. It argues that a more comprehensive understanding of space tourism, informed by sociological insights, can pave the way for more equitable and sustainable practices that go beyond purely commercial or technological achievements. © 2025 Elsevier B.V., All rights reserved.","Institutional theory; Pace market; Performativity; Sociological shaping; Space tourism","Economic and social effects; Economic forces; Economic mechanisms; Institutional theory; Pace market; Performativity; Regulatory frameworks; Sociological shaping; Space positions; Space tourisms; Technological breakthroughs; Economic analysis","M.I.C. Yang; Graduate School of Management, Kyoto University, Kyoto, Japan; email: yang.ichieh.3m@kyoto-u.ac.jp","","Springer Nature","","9789819734290; 9789819734306","","","English","Space Bus.: Emerg. Theory and Practice","Book chapter","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105004105029"
"Markard, J.; Wells, P.; Yap, X.-S.; Van Lente, H.","Markard, Jochen (6603379853); Wells, Peter E. (57210905245); Yap, Xiaoshan (54796244100); Van Lente, Harro (55962286700)","6603379853; 57210905245; 54796244100; 55962286700","Unsustainabilities: A study on SUVs and Space Tourism and a research agenda for transition studies","2023","Energy Research and Social Science","106","","103302","","","0","12","10.1016/j.erss.2023.103302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173822124&doi=10.1016%2Fj.erss.2023.103302&partnerID=40&md5=7b880646f35c7ba06c24f4e6adee1150","Institute of Sustainable Development, ZHAW Zurich University of Applied Sciences, Winterthur, Switzerland; Department of Management, ETH Zürich, Zurich, Switzerland; Cardiff Business School, Cardiff, United Kingdom; École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland; Copernicus Institute of Sustainable Development, Utrecht, Netherlands; Faculty of Arts and Social Sciences, Universiteit Maastricht, Maastricht, Netherlands","Markard, Jochen, Institute of Sustainable Development, ZHAW Zurich University of Applied Sciences, Winterthur, Switzerland, Department of Management, ETH Zürich, Zurich, Switzerland; Wells, Peter E., Cardiff Business School, Cardiff, United Kingdom; Yap, Xiaoshan, École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland, Copernicus Institute of Sustainable Development, Utrecht, Netherlands; Van Lente, Harro, Faculty of Arts and Social Sciences, Universiteit Maastricht, Maastricht, Netherlands","While transitions research has pursued a successful research agenda around how to improve established socio-technical systems in terms of sustainability, it has missed out, among other things, on innovations that make, or keep, societies less sustainable. In our paper, we explore two innovations in different stages of development: Sports utility vehicles (SUVs) and space tourism. SUVs entrench an existing socio-technical system and reproduce problematic practices, while space tourism might create a whole new, unsustainable system. We make three contributions. First, we introduce ‘unsustainabilities’ as a new term for technologies, institutions and practices that make, or keep, societies less sustainable. With this we direct attention to developments and structures that undermine ongoing sustainability transitions. Second, we distinguish unsustainabilities associated with socio-technical configurations, socio-technical systems, and meta-structures (spanning multiple systems). Third, we argue that precautionary policies will be needed in early stages of innovation, when there is still room to avoid unsustainable transitions. © 2023 Elsevier B.V., All rights reserved.","Mobility; Needs; Precautionary policies; Socio-technical transitions; Space; Unsustainable developments","","J. Markard; Institute of Sustainable Development, Zurich University of Applied Sciences, Winterthur, Switzerland; email: jmarkard@ethz.ch","","Elsevier Ltd","22146296; 22146326","","","","English","Energy Res. Soc. Sci.","Article","Final","All Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85173822124"
"Kim, M.J.; Hall, C.M.; Kwon, O.","Kim, Myungja (7406088313); Hall, C. Michael (55017070000); Kwon, Ohbyung (55735334700)","7406088313; 55017070000; 55735334700","Space tourism: Do age and gender make a difference in risk perception?","2023","Journal of Hospitality and Tourism Management","57","","","13","17","0","18","10.1016/j.jhtm.2023.08.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169505519&doi=10.1016%2Fj.jhtm.2023.08.019&partnerID=40&md5=d0f7b15d810300176f242805b2856b13","College of Hotel and Tourism Management, Kyung Hee University, Seoul, South Korea; Department of Management, University of Canterbury, Christchurch, New Zealand; Geography Research Unit, Oulun Yliopisto, Oulu, Finland; School of Business and Economics, Linnaeus University, Kalmar, Kalmar, Sweden; Institutionen för Service Management och Tjänstevetenskap, Helsingborg, Sweden; Taylor's University Malaysia, Subang Jaya, Malaysia; School of Management, Kyung Hee University, Seoul, South Korea","Kim, Myungja, College of Hotel and Tourism Management, Kyung Hee University, Seoul, South Korea; Hall, C. Michael, College of Hotel and Tourism Management, Kyung Hee University, Seoul, South Korea, Department of Management, University of Canterbury, Christchurch, New Zealand, Geography Research Unit, Oulun Yliopisto, Oulu, Finland, School of Business and Economics, Linnaeus University, Kalmar, Kalmar, Sweden, Institutionen för Service Management och Tjänstevetenskap, Helsingborg, Sweden, Taylor's University Malaysia, Subang Jaya, Malaysia; Kwon, Ohbyung, School of Management, Kyung Hee University, Seoul, South Korea","Space tourism is an industry with risks including health and safety, space debris, biological hazards, and sustainability concerns. However, there is limited research on the perceived risk of participation in space tourism, particularly regarding age and gender differences. An integrated research model was created and tested with four perceived risk dimensions using fuzzy-set Qualitative Comparative Analysis. A survey of 1000 South Korean residents over 18 who wanted to participate in space tourism was conducted. Results show significant differences in perceived risks between senior and younger groups, as well as male and female respondents. These findings offer valuable insights for space tourism stakeholders. © 2023 Elsevier B.V., All rights reserved.","Age; fsQCA; Gender; Risk theory; Space tourism","","M.J. Kim; College of Hotel & Tourism Management, Kyung Hee University, Seoul, 26 Kyungheedae-ro, Dongdaemun-gu, 02447, South Korea; email: silver@khu.ac.kr","","Elsevier Ltd","14476770; 18395260","","","","English","J. Hosp. Tour. Manage.","Article","Final","","Scopus","2-s2.0-85169505519"
